date,close,,,Fake date
25-Mar-14,94.73,,,25-Mar-03
18-Mar-14,98.35,,,18-Mar-03
11-Mar-14,98.31,,,11-Mar-03
4-Mar-14,94.07,,,4-Mar-03
25-Feb-14,94.08,,,25-Feb-03
18-Feb-14,96.32,,,18-Feb-03
11-Feb-14,96.39,,,11-Feb-03
4-Feb-14,96.2,,,4-Feb-03
28-Jan-14,96.38,,,28-Jan-03
21-Jan-14,95.84,,,21-Jan-03
14-Jan-14,93.24,,,14-Jan-03
7-Jan-14,93.09,,,7-Jan-03
31-Dec-14,88.59,,,31-Dec-02
24-Dec-14,87.9,,,24-Dec-02
17-Dec-14,88.11,,,17-Dec-02
10-Dec-14,87.05,,,10-Dec-02
3-Dec-14,82.12,,,3-Dec-02
26-Nov-14,81.97,,,26-Nov-02
19-Nov-14,82.53,,,19-Nov-02
12-Nov-14,82.39,,,12-Nov-02
5-Nov-14,82.39,,,5-Nov-02
29-Oct-14,82.82,,,29-Oct-02
22-Oct-14,84.81,,,22-Oct-02
15-Oct-14,84.56,,,15-Oct-02
8-Oct-14,84.27,,,8-Oct-02
1-Oct-14,83.59,,,1-Oct-02
24-Sep-14,78.6,,,24-Sep-02
17-Sep-14,79.18,,,17-Sep-02
10-Sep-14,80.09,,,10-Sep-02
3-Sep-14,80.27,,,3-Sep-02
27-Aug-14,78.97,,,27-Aug-02
20-Aug-14,79.78,,,20-Aug-02
13-Aug-14,79.98,,,13-Aug-02
6-Aug-14,87.19,,,6-Aug-02
30-Jul-14,87.76,,,30-Jul-02
23-Jul-14,86.7,,,23-Jul-02
16-Jul-14,83.64,,,16-Jul-02
9-Jul-14,84.25,,,9-Jul-02
2-Jul-14,84.9,,,2-Jul-02
25-Jun-14,80.53,,,25-Jun-02
18-Jun-14,81.8,,,18-Jun-02
11-Jun-14,79.09,,,11-Jun-02
4-Jun-14,81.34,,,4-Jun-02
28-May-14,83.37,,,28-May-02
21-May-14,79,,,21-May-02
14-May-14,84.78,,,14-May-02
7-May-14,94.91,,,7-May-02
30-Apr-14,94.19,,,30-Apr-02
23-Apr-14,96.04,,,23-Apr-02
16-Apr-14,99.69,,,16-Apr-02
9-Apr-14,98.82,,,9-Apr-02
2-Apr-14,99.05,,,2-Apr-02
26-Mar-14,93.63,,,26-Mar-02
19-Mar-14,90.04,,,19-Mar-02
12-Mar-14,89.89,,,12-Mar-02
5-Mar-14,86.96,,,5-Mar-02
26-Feb-14,87.65,,,26-Feb-02
19-Feb-14,81.11,,,19-Feb-02
12-Feb-14,81.22,,,12-Feb-02
5-Feb-14,79.49,,,5-Feb-02
29-Jan-14,77.02,,,29-Jan-02
22-Jan-14,76.73,,,22-Jan-02
15-Jan-14,76.33,,,15-Jan-02
8-Jan-14,72.92,,,8-Jan-02
1-Jan-14,63.6,,,1-Jan-02
25-Dec-14,61.7,,,25-Dec-01
18-Dec-14,61.58,,,18-Dec-01
